clusters,cost,investment,regret,lole_full_h,eens_full_mwh,time_s
2,482.17296425839794,664.4555783108996,3.0943077978668905,1367.0,98.81016790510824,3.8012227
4,503.58094011882895,692.2615559846448,0.7491676847249064,359.0,26.953879057159963,3.8682216
6,487.639037948489,728.3931177704332,2.499531684839461,1344.0,112.350106466413,1.5458313
8,471.7057382018693,679.3360416749182,2.903992977193674,2118.0,169.7024355189579,1.5465979
10,507.60088435947375,691.9617498319197,1.335838748898356,1265.0,94.2260892408247,1.7481213
12,513.7760219964624,665.984136683771,0.7786951258911421,750.0,55.50664432280026,1.9004811
14,507.8855897021463,639.3797544972676,0.5698167333085539,598.0,44.2385554693376,1.9484097
16,503.90449967398763,654.5255455619501,0.9850048752052368,1085.0,81.06494103031456,1.7711492
18,501.17788412688293,700.425828502206,1.2430659742100325,1155.0,86.43906030575238,1.716165
20,494.16429294361456,665.5325384200215,1.068860633000849,1261.0,92.63291083281558,1.740255
22,501.2547668575178,717.7108929489586,1.1204172839395117,819.0,61.62280722881712,1.923236
24,494.5640459374482,657.9693696542943,1.202047975398286,1087.0,78.64572340967861,2.000674
26,512.2135168423247,665.4990486509905,0.6225259087162212,891.0,64.51644767060208,2.0305123
28,511.6172618437602,647.9846450635232,0.347279138495798,520.0,37.986315692630484,3.446478
30,501.2766056381108,674.116498496356,0.6741455195551792,737.0,54.0434524079048,2.2584057
32,494.6045967212239,683.8594199953999,1.2075093896137006,1207.0,89.64114481402466,2.3017862
34,505.1462562339212,635.5229006472754,0.45450735283359084,614.0,44.65117464076523,2.3575354
36,500.07728645448174,663.5210771614851,1.6310991473309833,1466.0,108.83526958282053,2.8083184
38,506.786378959295,644.0968024866932,0.2076735456180686,592.0,43.14411957077817,4.1262366
40,505.34990596239516,679.3480594258217,0.36487805878428825,683.0,49.11120361520888,2.8009661
42,506.65221473970723,650.1378920576415,0.4798635267542695,679.0,49.199624744281394,4.359858
44,499.4602678674767,653.1710324582476,0.6979375127299778,983.0,70.55144791997922,2.8028364
46,501.5143557369463,672.4999436673539,0.594568979052598,917.0,66.5532348495973,2.7356349
48,507.3742732948735,666.68699402769,0.3200146044386689,535.0,38.1949883323305,2.8977376
50,507.4350111284879,662.3630161644277,0.3829751172948217,573.0,40.68541235226482,4.5647769
52,508.05240268837775,671.1414307778426,0.29602965431662703,595.0,41.217687407452665,3.0885498
62,509.8446071327012,646.6602456487726,0.35662389327058713,542.0,39.12281612483079,3.3469329
72,515.6993605940633,662.9850541403007,0.1469410598044943,514.0,36.86519086535873,4.731939
82,512.291329050862,664.8907553438153,0.23317690066551316,597.0,42.30172668424511,4.0343091
92,516.2223727226693,639.4815215206577,0.09553156877946169,405.0,29.750981659278285,5.5982414
102,513.1397773461408,658.6823587490551,0.01883262190098,388.0,28.509219265900974,4.5293597
112,508.7485209379586,649.3242569179938,0.11510866805754219,546.0,39.10195452247697,6.4753707
122,509.4298364760678,649.8852397455793,0.07741587413542213,496.0,36.14113821717426,5.2250314
132,508.85331254839343,657.9638475750937,0.10577511117733335,452.0,33.048439709820535,7.2249745
142,513.3802018906135,661.1222504409769,0.12035234952760901,485.0,35.090277459314315,6.1588386
152,512.2411123685736,648.0678067277391,0.02484649655685018,386.0,28.772985024925543,7.9701327
202,513.5159308107668,656.1949927395519,0.058027797069250826,407.0,30.20781208206726,11.2392201
252,508.96092705312185,651.3224936903207,0.04839187984923511,442.0,32.092878396994564,12.6070048
302,512.6836389448425,646.4526200599744,0.03030330628197852,426.0,31.255089157830252,15.8020292
352,509.7427486879316,645.8114942653751,0.03532590581873058,436.0,31.881927496477637,16.5787949
402,511.0474528617009,652.4558641301952,0.03109227855413757,425.0,30.973158828503017,20.8857415
552,509.9179356835982,653.0565057577774,0.04241039990878745,435.0,31.503635546679075,26.416001
702,513.3286758880868,649.9751008497861,0.003022168763424294,360.0,26.815115055659543,38.6246977
852,512.523792426464,649.8864172786208,0.001878916733142539,360.0,26.729828166417825,45.6421956
1002,512.5261651188254,648.9600411138218,0.0008842015965815886,331.0,24.907705075365485,56.9429861
