clusters,cost,investment,regret,lole_full_h,eens_full_mwh,time_s
2,512.637692852839,795.3724900343169,6.282046170705933,2127.0,200.11993965895118,3.4255514
4,459.8165946415097,773.6164658461449,7.073003737508973,3350.0,374.162407762351,1.5513057
6,487.8494108243899,683.8236190069523,0.663571466500447,555.0,41.32532010761484,1.498791
8,458.68840090782464,718.5139708345123,5.280776168892266,3235.0,316.2655316923062,1.626765
10,501.53086661703225,662.1348371834263,1.242838885665556,1093.0,80.91343072914202,1.7337277
12,505.82709905200596,661.3121929809504,0.7651321357679183,590.0,43.88571977354226,1.9140819
14,512.2433296380975,633.2627406072976,1.8461654141922417,339.0,27.28723266199165,1.9577142
16,498.09706106322335,691.7716141965194,0.9539999735719231,720.0,53.515783320489675,1.9056933
18,495.62472179114195,683.2825182470302,0.8482400877602991,780.0,58.06903314560208,1.6687958
20,508.7100719033371,645.2209137071244,0.6106826893973601,904.0,64.35978988085816,2.0232214
22,501.85996921009695,656.7284716787642,0.37796124755619276,551.0,40.51414311560373,2.0381314
24,509.4859111177916,699.6429516323101,1.0764053180280513,1075.0,80.50756943380131,1.9548556
26,502.37738626844583,675.7567887201199,0.6130709691261306,820.0,59.62583863900943,2.0612836
28,497.52360908569244,658.8175696876593,0.9651097814213777,1060.0,76.45620698689167,2.1152182
30,494.30437207622055,657.1571515860272,1.0417172933240404,1235.0,89.57797054232437,2.2923152
32,493.00009343691954,690.542018974706,1.1201826805662374,1155.0,85.1394675719994,2.2806205
34,502.09971313442264,652.272713244327,0.4781021142823313,704.0,51.57349050948171,3.9211587
36,508.06821903389573,660.5619147441495,0.44242558679440475,720.0,51.46207443007827,2.6046511
38,511.1217987679504,641.3049474037928,0.5585972097769479,487.0,36.32578996520287,3.9860978
40,511.86481393117714,670.6309816267126,0.28675373948189076,510.0,36.97850061198504,2.6942188
42,507.4046040060404,646.1453904026737,0.1758181556494641,530.0,38.16688841517024,4.3036649
44,495.3890979427103,695.9148107647586,1.2056244102341025,1346.0,100.6182268374366,2.7616975
46,509.7578433445358,666.112778637204,0.33624086464957004,491.0,36.05538688721591,2.8976042
48,512.7624498548148,664.6117729078219,0.20192563978608738,477.0,34.8747964998622,2.8046817
50,507.28297111929106,668.2271580324908,0.35769903856799534,701.0,49.43874049527041,4.492218
52,504.98801771123635,677.7971495753904,0.5939517192505803,798.0,57.956150951559394,4.3567314
62,508.02216285468535,690.161375184426,0.40602985958969007,656.0,47.114385443980396,4.8861096
72,508.46433600197093,663.5497844142317,0.23126247920380402,631.0,44.94099521102514,3.8032437
82,510.2663494416608,655.8829565148463,0.19039862287592452,466.0,34.17690057540142,5.6778372
92,508.79292591966623,660.5757859473118,0.2388221790206579,656.0,46.35451839108935,4.8610144
102,509.951414773064,655.7010255202872,0.1774599707566808,551.0,39.45143539730057,5.2177874
112,509.6867889010425,658.052585789224,0.05182463733831001,447.0,33.51563082248679,6.2968464
122,511.38167038457823,657.3158255269183,0.09992160896561851,498.0,35.61146727709428,5.4425737
132,512.1677562440688,655.6713765164313,0.126608922335825,598.0,42.7371182700099,7.5732874
142,508.2500058545791,652.9880264909999,0.11628738007238987,557.0,39.42933131791315,7.3893317
152,509.3413688261589,665.224308234604,0.24906208016057285,667.0,47.204318700670996,6.7047895
202,505.53657212731935,658.358965923858,0.17064722847547187,581.0,41.334952809080335,9.537835
252,513.6078838312907,654.1760703889037,0.045648137919963847,401.0,30.027489360121194,11.9984928
302,509.7931897342036,657.0501201005127,0.029578397936679483,401.0,29.341481858456948,13.5082128
352,511.51574368647357,656.9189417629977,0.02332444390417072,398.0,29.23535998793702,17.8572672
402,511.7033152483836,654.1812543885867,0.03627476714216893,439.0,31.575000285950104,21.5305411
552,512.6900100356509,648.1039170324543,0.004927178858760375,368.0,27.31893797294979,29.4390781
702,513.0878422896766,651.6285780450988,0.006696761461153374,366.0,27.164663537299695,33.4905597
852,511.51106116568053,651.1541306890066,0.004225931491153417,372.0,27.54933972866015,49.6883549
1002,512.7791185186965,648.482635292969,0.0005173775992132097,345.0,25.952197919978452,62.4015375
