clusters,cost,investment,regret,lole_full_h,eens_full_mwh,time_s
2,512.2549848310546,802.5562520362963,6.912187121456171,2227.0,215.0015598863812,3.4434143
4,472.8278137874966,763.5779654989805,5.145109979658312,2550.0,245.8762085750413,6.0277649
6,503.3145258479169,718.738660439441,3.5645353319469977,2118.0,178.33929925089484,1.4685394
8,481.30071397199833,708.4412967230559,3.0326596800946133,2053.0,170.3062152205094,1.5530547
10,469.4335344218419,730.5871970208736,3.5084354811478105,2405.0,212.60576220074648,1.6159416
12,504.13546248815595,675.5336706457457,2.880502552517744,2038.0,165.91168763310466,3.1493173
14,508.32443920266013,674.4978749271235,0.5061266423111375,509.0,38.01231933207138,2.1340625
16,497.3271208172053,630.8374188230835,0.37484388604520713,600.0,44.06507560580371,1.751583
18,503.1995118650363,652.9923370702081,0.8402311459190028,857.0,62.24324375191733,1.7376158
20,498.95167067671247,660.70555404895,1.0952378777808736,1039.0,75.14405440466922,1.7597895
22,508.43904538526414,692.0236014861445,0.9646470987102634,714.0,51.440649867586934,1.8831729
24,496.5431254924449,655.9810072315851,0.6445829304696024,843.0,60.95890019278775,2.1782469
26,506.2613234616432,678.597035061301,0.5326945412603196,715.0,51.845132966001735,2.4069024
28,504.0678225281468,648.1189339074399,0.5485137547675069,745.0,54.59830580894929,2.2504352
30,498.6225194044133,683.7512468098976,0.850428862303259,984.0,71.8974004509213,2.3723442
32,496.10412428566866,666.2589148664765,1.062792427279882,1292.0,94.07990509559284,2.554848
34,499.4210274265485,655.948366861119,0.605490329779062,898.0,65.74023045143562,2.6032345
36,513.4110497537307,637.7353180726183,0.11864399100765513,450.0,33.71427305174316,3.9843856
38,507.62884653326904,662.316605952801,0.2779924658290256,591.0,42.44434756539483,2.6135241
40,504.36743684222563,637.3116422638135,0.4415345953592362,843.0,59.35820920245407,3.7648967
42,516.341990749215,659.9340790098757,0.19876861491380174,439.0,32.11125881903608,2.7470424
44,511.55212834229695,647.3640150736923,0.12521894042017062,492.0,35.82363478353029,2.7321304
46,495.3822531059547,649.1111691307055,0.5056651280779657,831.0,59.90517048833814,3.8378643
48,500.58199506250344,661.9384527232032,0.709878012100425,903.0,66.39331003842243,2.8432195
50,503.44879380916063,664.0919653546623,0.7501017879625115,1020.0,74.62147442136241,3.0310663
52,512.4812898437924,679.8083920397368,0.3587246155296737,520.0,37.43558851873148,3.1286121
62,511.4413601647576,682.0410839907868,0.5078736457019963,766.0,54.62130780284908,3.3180222
72,509.39342553572936,653.7145670741758,0.19966707006157594,399.0,29.573294043006765,3.7255031
82,512.779890669394,655.6542392988563,0.1458352518429378,452.0,32.39096168692036,5.057626
92,513.3392431008632,656.6451637973603,0.17470369573567204,442.0,31.900160374362297,4.3271816
102,513.4441815719584,654.130028147613,0.1080138178217641,445.0,32.29654363686968,5.0649731
112,509.62208426100534,663.7793911700672,0.09060857167932387,463.0,33.289630055507615,6.0643422
122,512.7304936813067,646.166464651352,0.020272522202303737,369.0,27.22905293480878,5.611068
132,507.7117312397189,652.0349943738196,0.1443752085012191,527.0,37.60563166301753,6.7432567
142,515.4804131471732,649.5692399420255,0.07111115221511781,387.0,28.340927152498537,7.5537313
152,514.5830278802752,652.2219410667541,0.010074865102533005,365.0,27.130975924521046,8.0967885
202,509.2379004249355,646.6870160676973,0.054289279790199846,492.0,34.86215914098184,10.0741678
252,509.95040716602745,655.47453177278,0.08491678372823847,515.0,36.54801210042708,10.9260363
302,511.0712779701659,649.7568386857063,0.008880189352629629,376.0,27.47600093083772,13.0307515
352,512.5246712407155,649.3720098990104,0.03163436516087249,418.0,30.477099754254823,17.113933
402,512.8167026464679,649.007584679645,0.008218104211802309,368.0,27.30254217712677,21.9366982
552,512.9826493491732,656.074867040775,0.009355705472944422,383.0,28.197168799890886,29.0496639
702,511.546213636357,649.4194347540093,0.004418166064644011,389.0,28.732633016339673,39.1256503
852,512.5384130342761,651.3307636745843,0.0012922359084725694,343.0,25.733752204174387,49.3539438
1002,512.2305230993728,649.5214315158856,0.0007029198218895439,343.0,25.77101036248751,60.264294
