clusters,cost,investment,regret,lole_full_h,eens_full_mwh,time_s
1,512.2549848310546,802.5562520362963,6.91218712145637,2221.0,215.00155988638056,3.1551822
51,504.6659333024663,642.7450798505947,0.30303714718325997,661.0,47.161792732783375,7.3220188
101,506.9310257663656,655.0904730081703,0.16253581973975145,552.0,40.940693554188336,10.0075876
151,510.8076616629098,652.7265569676954,0.07405370250910782,431.0,32.27918277930877,13.5749869
201,510.6545099684886,651.6018321576097,0.06647683255528508,492.0,35.69281604973342,20.4045262
251,515.3493661998543,651.777532226742,0.0352848263539936,313.0,23.81022865155199,31.3503693
301,512.4271003806472,656.9850413269978,0.01762728740617027,352.0,26.615744478845798,36.3648547
351,513.2408728039308,642.1568396203655,0.015084149969222175,339.0,25.07147097123174,29.8950421
401,512.1310629141209,650.2251803703073,0.0018922351525047605,353.0,26.558399704154233,47.4047271
451,511.42379777755184,653.9363574967525,0.011584332147305006,394.0,29.223967178977148,55.3321573
501,511.54820545678217,654.3451024205664,0.006491449608323799,361.0,27.00522493654513,56.2407008
551,512.6542963428191,651.8036500055479,0.016409164255168023,385.0,28.431956489306934,66.8658661
601,511.5339429922761,650.4501113491617,0.005356228539511667,347.0,26.077059751600856,87.4753512
651,512.4612107844962,654.0516462652539,0.006222289932965592,367.0,27.60812198501697,88.5441111
701,512.1463812815555,649.8221059097988,0.006992394022165886,365.0,27.579945003703706,107.7472936
751,512.8122815736502,650.80719020  79962,0.0034255061326992995,339.0,25.85377579418655,98.4611549
801,512.9160015759032,648.1158248950392,0.0020246085655215187,356.0,26.842638703517952,110.8922364
851,511.46839968654456,648.9172897024637,0.004470399613574879,374.0,27.321573435810123,110.0323743
901,512.6700107582205,647.8955035875541,0.0005029839712008329,338.0,25.40229771084151,10179.3525025
951,512.5111895214131,650.9881410915733,0.002644282075938965,326.0,24.73412881509578,128.9733568
1001,512.4635999219349,646.1292514628085,0.0007607099103197835,341.0,25.736017384401684,145.951518
1051,512.4416523400918,648.0134372718118,0.00022911663809358827,338.0,25.589743951765865,145.2870761
