clusters,cost,investment,regret,lole_full_h,eens_full_mwh,time_s
1,NaN,NaN,NaN,NaN,NaN,0.4867399
51,507.3084006878513,687.3724376156733,0.43321491616257174,597.0,42.94531688963597,4.4308307
101,514.5348466226386,666.5700084749425,0.07484967688248284,332.0,25.249687885599,4.8461441
151,508.97058633706126,638.1975249880077,0.09256039383332217,464.0,34.36137684013559,14.6786172
201,513.3852307584806,653.9011607951744,0.018644387625522035,356.0,27.44501751104019,30.147367
251,511.5064814254734,653.2008347366944,0.03647867955673864,416.0,30.506510722786974,26.1072977
301,515.3667613969748,662.3013055393654,0.0454529536773795,313.0,23.95870528134424,29.0259981
351,513.691604801681,657.131014730836,0.02220821871710481,364.0,26.961429785273133,19.4506789
401,510.5258277351339,652.5705955733158,0.016059655616938496,421.0,30.761927295152024,50.7897941
451,512.8184077431021,651.0767153685858,0.027946450309634614,379.0,28.154125891980097,50.408144
501,513.0444080629962,654.4637413337797,0.006744499877087078,366.0,27.55779528335926,59.5939285
551,511.9726393594291,653.4268788905293,0.007544382824273918,387.0,28.9412928372475,79.7915755
601,511.22164907732235,652.7595456491464,0.012478486559980989,387.0,28.327540290991713,80.0801908
651,513.0977096125238,652.7607310899838,0.004702703125526458,323.0,24.635545156508265,92.4523443
701,513.5850073471655,647.8594167217971,0.0049660662410247625,339.0,25.755158244751698,78.3316983
751,512.505173593989,654.4784564806827,0.0034344862789554356,349.0,26.03284588914942,105.3927912
801,512.188295016556,651.2362334580647,0.0014902611380804166,338.0,25.50056197679033,104.5490806
851,512.43105142552,647.9296391713818,0.0065227099898590764,372.0,27.508664010800267,48.6127442
901,513.4952422177741,650.7184105921158,0.001995169748619964,334.0,25.07171792754909,125.7124291
951,513.7287250359558,650.0524908342074,0.0021160424630982493,337.0,25.557719894981506,140.7998683
1001,512.9227626119525,649.5944346034261,0.0014208067162052103,330.0,25.06211263988893,141.9942534
1051,512.4441663643604,648.1435514477068,0.0004316379733373579,341.0,25.739218626364497,113.7243259
