clusters,cost,investment,regret,lole_full_h,eens_full_mwh,time_s
1,NaN,NaN,NaN,NaN,NaN,0.8034331
51,506.498054031165,662.2285624594767,0.33865270549877163,655.0,47.23867931929838,8.4452714
101,510.4393034606589,655.5713209700548,0.15346719142171117,483.0,35.69930553965122,14.490819
151,511.4978194577097,645.1852999418231,0.07471068452475768,352.0,27.016149382549084,17.2246146
201,513.3909424238154,658.4945035461376,0.04825513579900746,349.0,26.71189263144974,25.7775664
251,511.47648156869263,657.6186746563571,0.03062146589265917,406.0,29.80601174067263,33.2339923
301,511.5702636685191,654.8339944897967,0.018281398285169368,381.0,28.562517486282793,31.7075704
351,511.190905723499,651.9548632397391,0.014002175629923914,416.0,30.942609475116903,42.4837746
401,513.7027462576306,652.9185251136855,0.019112492174397942,331.0,24.63225876650767,44.9173288
451,513.2323548187389,649.1581021417411,0.03353088156149015,420.0,30.739611716865774,54.0218
501,511.6100103360992,655.1884645801135,0.011901988452693316,365.0,27.497195297574553,58.4467691
551,511.0623353310116,653.6076380015065,0.015850762111396875,405.0,29.83184577599325,77.2034735
601,511.1382088192617,655.7854659660665,0.009158446700203111,382.0,28.52718607374663,91.8974419
651,512.7291649665923,650.1248236048577,0.005147139422252717,362.0,27.3463399048938,103.1389442
701,513.3591135897677,649.2539614895552,0.007129697612361537,361.0,27.45130115650794,103.2699513
751,513.6151573300756,649.2822961819606,0.003705731658823342,334.0,25.00352899719201,102.244863
801,513.871708246882,653.2156276932769,0.0025909507137859846,320.0,24.406220908597724,97.4981035
851,512.8001474649739,647.9063725219441,0.002621381160958153,347.0,26.215690564752688,51.6254266
901,512.3530783538399,652.3011262613518,0.0036769764642252895,326.0,24.826020779138684,126.0556451
951,513.0072679372473,650.1447755796315,0.0021345094333798317,337.0,25.3922539475216,141.3686856
1001,513.0059710486524,648.9717997788985,0.0008614312225628868,335.0,25.355886393184736,130.8200113
1051,512.7488553290653,647.0145314465984,0.0003213773891861342,340.0,25.70368309481156,95.6946012
