clusters,cost,investment,regret,lole_full_h,eens_full_mwh,time_s
1,NaN,NaN,NaN,NaN,NaN,1.7317477
51,486.45636455914456,601.8584534257074,0.26287094881938206,535.0,38.8039787736491,3.4956753
101,487.17271223056474,597.1529937716145,0.3567806212775232,488.0,36.54146839191463,6.2287682
151,491.9183167843977,594.2490631155126,0.2457269278814493,434.0,31.263125446982897,10.8000601
201,491.82232550706993,585.7249229920067,0.31261984244848445,410.0,29.618744502137513,21.8798628
251,492.74872048244805,585.7114536621106,0.3570732862347606,366.0,26.36304366710644,21.7524649
301,488.4448052785508,604.5646100384336,0.17923556046468594,463.0,32.85024521646496,29.7546074
351,489.16960896390657,598.4975622635701,0.21690795081593206,470.0,33.35774555308505,43.733319
401,492.0400303567095,596.9361299511849,0.2299508770352494,368.0,26.274736388720928,52.7764812
451,491.26881187079385,596.5934456151244,0.2109859750614058,375.0,26.955903187214986,63.3048372
501,491.5570942416051,592.7063145397794,0.25359460666417993,395.0,27.930511093820492,63.2769968
551,490.86774791117426,596.7424236062905,0.25819397561352997,395.0,28.532990179199,538.3961059
601,491.4873443461777,592.0791269116162,0.25297364417770085,381.0,27.449795591383207,93.862527
651,490.87942074190147,596.6797981246599,0.23581790852414136,392.0,28.142258895405813,102.7671887
701,490.700640757896,589.6655341017554,0.2608430991111261,408.0,28.544147133945767,116.7762339
751,491.69305731298584,592.649879504383,0.2555230929256613,376.0,27.049583004826836,114.653865
801,491.00392389836315,596.3141772675605,0.23475426013947698,381.0,27.65091390331647,110.0401351
851,491.4226839669809,593.5557405891357,0.2557167260242969,358.0,26.467978820931535,64.8678156
901,491.54732108059073,591.2893072981301,0.2568569801663545,375.0,27.208929240676014,101.3085412
951,491.8365228534343,589.3129281177143,0.2671381640096883,373.0,27.023033381516264,139.9161192
1001,491.18395126501963,591.9216664093044,0.2554656454470532,375.0,27.348307776832506,146.1052413
1051,491.18466189756634,591.9558938040802,0.2499447726501421,374.0,27.15013324142072,141.4636934
