clusters,cost,investment,regret,lole_full_h,eens_full_mwh,time_s
1,NaN,NaN,NaN,NaN,NaN,0.5542521
51,515.8532572359608,659.0439182132633,0.19055805785013158,463.0,33.57658378666154,3.0471398
101,505.4199377004196,650.0461706552115,0.09514207774423686,461.0,34.34168332027953,4.5943012
151,503.7667268593513,665.7459609413854,0.19396061734848177,643.0,46.52549057701826,20.1458917
201,509.9780898654737,653.3261931589026,0.08645059415071277,446.0,32.82978075611988,25.6183331
251,515.2309684884744,659.0273094155323,0.028539779608464072,361.0,27.281060635430034,25.340309
301,514.4548328755621,649.5895081536653,0.011888327327889022,342.0,25.973079977954693,33.9320091
351,509.5068618388109,652.639532516641,0.01122642769741051,397.0,29.33529201939366,37.7289934
401,508.4855751139016,648.5029345030189,0.06024245438161842,474.0,33.78913114756349,45.6513811
451,511.5801459113473,653.7035145672138,0.007673510125337464,370.0,27.327020723562164,54.4316594
501,514.0211317794831,660.653821589564,0.01002662701091499,351.0,26.529353206967116,64.1957883
551,511.82077604996516,655.2729449254405,0.0038268109603890707,350.0,26.291681563632118,76.5790307
601,512.6575119509329,654.571528593436,0.005925420540541333,358.0,27.06545570147418,83.7405262
651,513.1809014463547,647.5387403014316,0.001404998064573292,349.0,26.160194812653494,95.5929399
701,513.1873468277547,653.5262913781183,0.004528198527213733,348.0,26.296056945572566,98.4193634
751,513.6733034293323,647.2749860369116,0.004902514351109044,348.0,26.368217478877312,93.2531626
801,512.919605345417,653.0292027912543,0.0036727809319632675,361.0,27.174003946108797,110.2636488
851,512.6161085226369,648.3257069963581,0.002434665425074058,333.0,25.034021480550386,52.1384802
901,511.66806885818824,650.2835907026196,0.0012311107495913862,353.0,26.631559642799676,129.2083754
951,512.2681517539005,646.7588587362704,0.0018407607071130577,357.0,26.715242980073675,143.5975269
1001,511.8159632323648,649.0240982652031,0.0017862995903353436,361.0,27.01931246697348,131.1023937
1051,512.6968975111553,646.9999584045813,0.0009306544461801907,339.0,25.640012254209996,148.4450515
